Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
Mariano Acosta 28 y Av. Rivadavia 0,"61","100000","6400000","1639","104918","2","64",SEGUNDO,FLORESTA,"10"
AV. AVELLANEDA 3900,"61","99000","6336000","1623","103869","2","64",SEGUNDO,FLORESTA,"10"
Campana 1200,"76","150000","9600000","2459","157377","4","64",SEGUNDO,FLORESTA,"10"
Yerbal 3900,"62","150000","9600000","2419","154839","3","64",SEGUNDO,FLORESTA,"10"
ENSENADA 300,"67","115000","7360000","1855","118710","3","64",SEGUNDO,FLORESTA,"10"
Sanabria 1200 0,"63","142000","9088000","2254","144254","3","64",SEGUNDO,FLORESTA,"10"
Ensenada 0,"63","94900","6073600","1506","96406","3","64",SEGUNDO,FLORESTA,"10"
Bogotá 3800 0,"70","138000","8832000","2190","140190","3","64",SEGUNDO,FLORESTA,"10"
Avellaneda al 3900 0,"75","130000","8320000","2064","132063","3","64",SEGUNDO,FLORESTA,"10"
Avenida Segurola 1071,"69","131613","8423232","2079","133068","3","64",SEGUNDO,FLORESTA,"10"
Sanabria al 1200 0,"64","150000","9600000","2344","150000","4","64",SEGUNDO,FLORESTA,"10"
YERBAL 3700 0,"66","120000","7680000","1875","120000","2","64",SEGUNDO,FLORESTA,"10"
Yerbal 3700 0,"66","109000","6976000","1703","109000","4","64",SEGUNDO,FLORESTA,"10"
Segurola 700,"56","139000","8896000","2478","158574","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Mariano Acosta 145,"60","130000","8320000","2167","138667","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Madero 100,"56","87000","5568000","1554","99429","3","64",SEGUNDO,LINIERS,"9"
Av. Juan B. Justo 9100,"56","143000","9152000","2531","161982","2","64",SEGUNDO,LINIERS,"9"
MURGUIONDO 900,"61","200000","12800000","3509","224561","3","64",SEGUNDO,LINIERS,"9"
Murguiondo 900,"57","122000","7808000","2140","136982","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 4º ""D"" 0","57","152500","9760000","2675","171228","3","64",SEGUNDO,LINIERS,"9"
Av B Rivadavia 11053,"65","130000","8320000","2281","145965","3","64",SEGUNDO,LINIERS,"9"
Timoteo Gordillo 100,"60","140000","8960000","2456","157193","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 1º ""D"" 0","57","134200","8588800","2354","150681","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 2º ""D"" 0","57","134200","8588800","2354","150681","3","64",SEGUNDO,LINIERS,"9"
Garcia De Cossio 6000,"69","220000","14080000","3860","247018","3","64",SEGUNDO,LINIERS,"9"
Carlos Encina 545 0,"92","185000","11840000","3190","204138","3","64",SEGUNDO,LINIERS,"9"
Pje Dr A H Roffo 7000,"58","76000","4864000","1310","83862","3","64",SEGUNDO,LINIERS,"9"
"ENCINA, CARLOS 500","92","185000","11840000","3190","204138","3","64",SEGUNDO,LINIERS,"9"
Av  LISANDRO DE LA TORRE 800,"58","160000","10240000","2759","176552","3","64",SEGUNDO,LINIERS,"9"
GANA 100,"62","85000","5440000","1466","93793","3","64",SEGUNDO,LINIERS,"9"
Cosquin 100,"63","95000","6080000","1638","104828","3","64",SEGUNDO,LINIERS,"9"
Cosquin 100,"93","80000","5120000","1379","88276","1","64",SEGUNDO,LINIERS,"9"
Juan B. Justo 9100,"58","108000","6912000","1862","119172","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6000,"58","190000","12160000","3276","209655","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6000,"58","185000","11840000","3190","204138","3","64",SEGUNDO,LINIERS,"9"
Ulrico Schmidl 5958,"87","160000","10240000","2759","176552","3","64",SEGUNDO,LINIERS,"9"
PILAR 800,"58","160000","10240000","2759","176552","3","64",SEGUNDO,LINIERS,"9"
POLA 200,"72","155000","9920000","2627","168136","2","64",SEGUNDO,LINIERS,"9"
PILAR 800,"59","159000","10176000","2695","172475","3","64",SEGUNDO,LINIERS,"9"
Saenz Valiente 12,"59","129000","8256000","2186","139932","3","64",SEGUNDO,LINIERS,"9"
Madero 100,"60","95000","6080000","1583","101333","3","64",SEGUNDO,LINIERS,"9"
CAAGUAZU 6600,"130","185000","11840000","3083","197333","3","64",SEGUNDO,LINIERS,"9"
Tonelero 6400,"66","160000","10240000","2667","170667","3","64",SEGUNDO,LINIERS,"9"
Madero 101,"60","120000","7680000","2000","128000","3","64",SEGUNDO,LINIERS,"9"
Ramon L Falcon al 6600 0,"60","159000","10176000","2650","169600","3","64",SEGUNDO,LINIERS,"9"
TONELERO 6400 0,"66","149000","9536000","2483","158933","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6025,"60","190000","12160000","3167","202667","3","64",SEGUNDO,LINIERS,"9"
ACASSUSO 7000,"60","200000","12800000","3333","213333","3","64",SEGUNDO,LINIERS,"9"
Guamini 1000,"70","260000","16640000","4333","277333","3","64",SEGUNDO,LINIERS,"9"
Pilar al 1000 0,"68","185000","11840000","3083","197333","3","64",SEGUNDO,LINIERS,"9"
Tonelero al 6400 0,"60","135000","8640000","2250","144000","3","64",SEGUNDO,LINIERS,"9"
CARHUE 28,"60","85000","5440000","1417","90667","1","64",SEGUNDO,LINIERS,"9"
rivadavia 10900,"66","130000","8320000","2167","138667","3","64",SEGUNDO,LINIERS,"9"
ACASSUSO 7000,"75","200000","12800000","3333","213333","3","64",SEGUNDO,LINIERS,"9"
Av Gral Jose Maria Paz 10700,"66","105000","6720000","1750","112000","3","64",SEGUNDO,LINIERS,"9"
Carhue 750,"60","105000","6720000","1750","112000","3","64",SEGUNDO,LINIERS,"9"
Ramon L. Falcon 6500,"60","140000","8960000","2333","149333","3","64",SEGUNDO,LINIERS,"9"
rivadavia 10900,"66","120000","7680000","2000","128000","3","64",SEGUNDO,LINIERS,"9"
Tonelero 5900,"75","250000","16000000","4167","266667","3","64",SEGUNDO,LINIERS,"9"
AV LARRAZABAL 200,"60","208000","13312000","3467","221867","3","64",SEGUNDO,LINIERS,"9"
Tonelero 6100,"65","135000","8640000","2250","144000","3","64",SEGUNDO,LINIERS,"9"
ACASUSSO 6100,"65","152000","9728000","2533","162133","3","64",SEGUNDO,LINIERS,"9"
Tonelero 6480,"66","150800","9651200","2513","160853","1","64",SEGUNDO,LINIERS,"9"
EMILIO CASTRO al 5600 0,"77","220000","14080000","3667","234667","2","64",SEGUNDO,LINIERS,"9"
PILAR 800,"60","160000","10240000","2667","170667","3","64",SEGUNDO,LINIERS,"9"
Av. Rivadavia 10594,"70","120000","7680000","2000","128000","3","64",SEGUNDO,LINIERS,"9"
AV. RIVADAVIA al 10400 0,"60","145000","9280000","2417","154667","3","64",SEGUNDO,LINIERS,"9"
RAMON FALCON 5936,"68","260000","16640000","4333","277333","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6025,"60","210000","13440000","3500","224000","3","64",SEGUNDO,LINIERS,"9"
PILAR 800,"60","157000","10048000","2617","167467","3","64",SEGUNDO,LINIERS,"9"
Tonelero al 6400 0,"61","150000","9600000","2459","157377","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 2º ""B"" 0","61","130000","8320000","2131","136393","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 4º ""B"" 0","61","169000","10816000","2770","177311","3","64",SEGUNDO,LINIERS,"9"
Ramón L Falcón 6775,"75","190000","12160000","3115","199344","3","64",SEGUNDO,LINIERS,"9"
Murguiondo 900,"61","175000","11200000","2869","183607","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 3º ""B"" 0","61","130000","8320000","2131","136393","3","64",SEGUNDO,LINIERS,"9"
Murgiondo 930,"65","130000","8320000","2131","136393","3","64",SEGUNDO,LINIERS,"9"
"Murguiondo 930 1º ""B"" 0","61","130000","8320000","2131","136393","3","64",SEGUNDO,LINIERS,"9"
Tonelero 6708,"117","135000","8640000","2213","141639","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6000,"66","185000","11840000","3033","194098","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6000,"61","190000","12160000","3115","199344","3","64",SEGUNDO,LINIERS,"9"
Ramón L. Falcón 6000,"61","185000","11840000","3033","194098","3","64",SEGUNDO,LINIERS,"9"
PIERES 500,"65","185000","11840000","2984","190968","3","64",SEGUNDO,LINIERS,"9"
Timoteo Gordillo 100,"62","109000","6976000","1758","112516","3","64",SEGUNDO,LINIERS,"9"
Patron 7200,"82","180000","11520000","2903","185806","3","64",SEGUNDO,LINIERS,"9"
PIERES 500,"65","225000","14400000","3629","232258","3","64",SEGUNDO,LINIERS,"9"
Guamini 1065,"62","225000","14400000","3629","232258","1","64",SEGUNDO,LINIERS,"9"
Murgiondo 100,"62","150000","9600000","2419","154839","4","64",SEGUNDO,LINIERS,"9"
Timoteo Gordillo 100,"62","110000","7040000","1774","113548","3","64",SEGUNDO,LINIERS,"9"
M Patron 7200,"113","190000","12160000","3016","193016","3","64",SEGUNDO,LINIERS,"9"
Jose A Miralla 300,"150","222000","14208000","3524","225524","1","64",SEGUNDO,LINIERS,"9"
FONROUGE 500,"63","140000","8960000","2222","142222","4","64",SEGUNDO,LINIERS,"9"
Ulrico Schmidl 5958,"106","165000","10560000","2619","167619","3","64",SEGUNDO,LINIERS,"9"
Albariño 100,"67","215000","13760000","3413","218413","3","64",SEGUNDO,LINIERS,"9"
Jose A Miralla 300,"126","215000","13760000","3359","215000","1","64",SEGUNDO,LINIERS,"9"
MURGUIONDO 1000,"69","155000","9920000","2422","155000","3","64",SEGUNDO,LINIERS,"9"
GARCIA DE COSSIO 6200,"68","175000","11200000","2734","175000","3","64",SEGUNDO,LINIERS,"9"
GUAMINI 1000,"73","225000","14400000","3516","225000","3","64",SEGUNDO,LINIERS,"9"
Carhue 700,"71","145000","9280000","2266","145000","3","64",SEGUNDO,LINIERS,"9"
lisandro de la torre 300,"76","145000","9280000","2266","145000","4","64",SEGUNDO,LINIERS,"9"
L. De La Torre 300,"70","128000","8192000","2000","128000","4","64",SEGUNDO,LINIERS,"9"
García de Cossio al 6500 0,"70","145000","9280000","2266","145000","3","64",SEGUNDO,LINIERS,"9"
Madero 300,"60","110000","7040000","1833","117333","3","64",SEGUNDO,VERSALLES,"10"
Araujo 900,"107","160000","10240000","2807","179649","3","64",SEGUNDO,MATADEROS,"9"
LISANDRO DE LA TORRE 1600,"58","148000","9472000","2552","163310","3","64",SEGUNDO,MATADEROS,"9"
Araujo 900,"58","160000","10240000","2759","176552","3","64",SEGUNDO,MATADEROS,"9"
Fonrouge 1200,"59","165000","10560000","2797","178983","2","64",SEGUNDO,MATADEROS,"9"
Chascomus 4928,"66","110000","7040000","1864","119322","3","64",SEGUNDO,MATADEROS,"9"
Jose J Araujo 900,"68","115000","7360000","1917","122667","3","64",SEGUNDO,MATADEROS,"9"
Av Dr L De La Torre 1600,"65","155000","9920000","2583","165333","3","64",SEGUNDO,MATADEROS,"9"
Cnel P Murguiondo 1513,"60","125000","8000000","2083","133333","3","64",SEGUNDO,MATADEROS,"9"
Guamini 2000 0,"60","85000","5440000","1417","90667","3","64",SEGUNDO,MATADEROS,"9"
PAZ GRAL AV 13100,"60","128000","8192000","2133","136533","3","64",SEGUNDO,MATADEROS,"9"
Saladillo 2200,"60","125000","8000000","2083","133333","4","64",SEGUNDO,MATADEROS,"9"
MIRALLA 1000,"60","170000","10880000","2833","181333","3","64",SEGUNDO,MATADEROS,"9"
Pola 1000,"60","130000","8320000","2167","138667","2","64",SEGUNDO,MATADEROS,"9"
Av. J. B. Alberdi Nº5300 0,"60","132600","8486400","2210","141440","3","64",SEGUNDO,MATADEROS,"9"
Mariniano Leguizamón 1600,"65","150000","9600000","2500","160000","2","64",SEGUNDO,MATADEROS,"9"
Av Dr L De La Torre 1600,"64","148000","9472000","2467","157867","3","64",SEGUNDO,MATADEROS,"9"
Bragado 6500,"60","78000","4992000","1300","83200","3","64",SEGUNDO,MATADEROS,"9"
Manuel Artigas 6000,"80","259000","16576000","4317","276267","3","64",SEGUNDO,MATADEROS,"9"
PIZARRO 6800,"64","158000","10112000","2633","168533","2","64",SEGUNDO,MATADEROS,"9"
Tapalque 7300,"65","155000","9920000","2583","165333","4","64",SEGUNDO,MATADEROS,"9"
Martiniano Leguizamon 1400,"100","170000","10880000","2833","181333","2","64",SEGUNDO,MATADEROS,"9"
Jose A Miralla 1050,"83","169044","10818816","2797","179001","3","64",SEGUNDO,MATADEROS,"9"
ANDALGALA 1400,"76","210000","13440000","3443","220328","3","64",SEGUNDO,MATADEROS,"9"
Pola 1100,"66","190000","12160000","3115","199344","3","64",SEGUNDO,MATADEROS,"9"
Bragado 5800,"62","199000","12736000","3210","205419","3","64",SEGUNDO,MATADEROS,"9"
Pilar 1300,"74","145000","9280000","2339","149677","3","64",SEGUNDO,MATADEROS,"9"
Martiniano Leguizamon al 1600 0,"66","189000","12096000","3048","195097","3","64",SEGUNDO,MATADEROS,"9"
MIRALLA 800,"68","150000","9600000","2419","154839","3","64",SEGUNDO,MATADEROS,"9"
martiniano leguizamon 1654,"76","202000","12928000","3258","208516","3","64",SEGUNDO,MATADEROS,"9"
Manuel Artigas 5106,"66","119900","7673600","1934","123768","3","64",SEGUNDO,MATADEROS,"9"
Jose J Araujo 900,"73","165000","10560000","2619","167619","4","64",SEGUNDO,MATADEROS,"9"
BRAGADO 5000,"64","125000","8000000","1953","125000","3","64",SEGUNDO,MATADEROS,"9"
Cnel F Allende 1973,"62","128000","8192000","2286","146286","2","64",SEGUNDO,MONTE CASTRO,"10"
M Sastre 4200,"65","122000","7808000","2179","139429","3","64",SEGUNDO,MONTE CASTRO,"10"
SANTO TOMÉ 5200 0,"59","139000","8896000","2482","158857","3","64",SEGUNDO,MONTE CASTRO,"10"
M Sastre 4400,"56","175000","11200000","3125","200000","2","64",SEGUNDO,MONTE CASTRO,"10"
Dr S Segurola 1700,"65","145000","9280000","2544","162807","3","64",SEGUNDO,MONTE CASTRO,"10"
miranda al 5200 0,"58","170000","10880000","2931","187586","2","64",SEGUNDO,MONTE CASTRO,"10"
bahia blanca al 2000 0,"61","165000","10560000","2845","182069","3","64",SEGUNDO,MONTE CASTRO,"10"
"Segurola, Av. 2000","72","180000","11520000","3103","198621","3","64",SEGUNDO,MONTE CASTRO,"10"
Arregui 4439,"61","165000","10560000","2845","182069","3","64",SEGUNDO,MONTE CASTRO,"10"
allende 1900 0,"59","119000","7616000","2017","129085","2","64",SEGUNDO,MONTE CASTRO,"10"
Santo Tomé al 4500 0,"89","150000","9600000","2542","162712","3","64",SEGUNDO,MONTE CASTRO,"10"
R Alcaraz 4412,"64","160000","10240000","2712","173559","3","64",SEGUNDO,MONTE CASTRO,"10"
Alcaraz 4400,"64","160000","10240000","2712","173559","3","64",SEGUNDO,MONTE CASTRO,"10"
Miranda al 5200 0,"65","173000","11072000","2932","187661","3","64",SEGUNDO,MONTE CASTRO,"10"
Santo Tome 5692 100,"66","145000","9280000","2458","157288","3","64",SEGUNDO,MONTE CASTRO,"10"
MIRANDA 3900 0,"59","84000","5376000","1424","91119","2","64",SEGUNDO,MONTE CASTRO,"10"
Alcaraz 4400,"73","173500","11104000","2941","188203","3","64",SEGUNDO,MONTE CASTRO,"10"
Sanabria 2400 0,"61","189500","12128000","3212","205559","3","64",SEGUNDO,MONTE CASTRO,"10"
Sanabria 2400,"63","179500","11488000","2992","191467","1","64",SEGUNDO,MONTE CASTRO,"10"
Lascano 4800,"100","138000","8832000","2300","147200","2","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","175500","11232000","2925","187200","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","154800","9907200","2580","165120","3","64",SEGUNDO,MONTE CASTRO,"10"
Arregui 5100 0,"72","234000","14976000","3900","249600","3","64",SEGUNDO,MONTE CASTRO,"10"
GUALEGUAYCHU al 1800 0,"64","162000","10368000","2700","172800","3","64",SEGUNDO,MONTE CASTRO,"10"
Marcos Paz 2100,"69","195000","12480000","3250","208000","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","162000","10368000","2700","172800","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","184500","11808000","3075","196800","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","135000","8640000","2250","144000","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","144000","9216000","2400","153600","3","64",SEGUNDO,MONTE CASTRO,"10"
Av. Alvarez Jonte al 5200 0,"71","139000","8896000","2317","148267","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","176400","11289600","2940","188160","3","64",SEGUNDO,MONTE CASTRO,"10"
Marcos Paz 2162,"68","190000","12160000","3167","202667","3","64",SEGUNDO,MONTE CASTRO,"10"
Marcos Paz 2100,"69","190000","12160000","3167","202667","3","64",SEGUNDO,MONTE CASTRO,"10"
Lascano 5112,"64","160000","10240000","2667","170667","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 2030,"71","167400","10713600","2790","178560","3","64",SEGUNDO,MONTE CASTRO,"10"
Cervantes 1900,"60","135000","8640000","2250","144000","3","64",SEGUNDO,MONTE CASTRO,"10"
Bahia Blanca 2000,"65","260000","16640000","4333","277333","3","64",SEGUNDO,MONTE CASTRO,"10"
Sanabria 2196,"65","180000","11520000","3000","192000","3","64",SEGUNDO,MONTE CASTRO,"10"
Av. Alvarez Jonte 4700 0,"61","92000","5888000","1508","96525","2","64",SEGUNDO,MONTE CASTRO,"10"
Santo Tome 5000,"85","185000","11840000","3033","194098","3","64",SEGUNDO,MONTE CASTRO,"10"
Cnel F Allende 1973,"82","173065","11076160","2819","180423","3","64",SEGUNDO,MONTE CASTRO,"10"
Cnel F Allende 1973,"79","194240","12431360","3164","202498","3","64",SEGUNDO,MONTE CASTRO,"10"
Elpidio Gonzalez 4339 y Gualeguaychu 0,"66","114900","7353600","1853","118606","3","64",SEGUNDO,MONTE CASTRO,"10"
Gualeguaychu 2000 0,"66","179900","11513600","2902","185703","3","64",SEGUNDO,MONTE CASTRO,"10"
J V Gonzalez 2142,"75","198000","12672000","3194","204387","3","64",SEGUNDO,MONTE CASTRO,"10"
Alcaraz 4300,"70","140000","8960000","2258","144516","3","64",SEGUNDO,MONTE CASTRO,"10"
Av A Alvarez Jonte 4550,"70","180000","11520000","2903","185806","3","64",SEGUNDO,MONTE CASTRO,"10"
MARCOS SASTRE Y MARCOS PAZ 0,"62","115000","7360000","1855","118710","3","64",SEGUNDO,MONTE CASTRO,"10"
R Alcaraz 4304,"70","143000","9152000","2270","145270","3","64",SEGUNDO,MONTE CASTRO,"10"
Av Segurola 1700 0,"134","170000","10880000","2698","172698","3","64",SEGUNDO,MONTE CASTRO,"10"
MIRANDA 4400 0,"65","119000","7616000","1889","120889","3","64",SEGUNDO,MONTE CASTRO,"10"
Bahia Blanca al 2200 0,"63","170000","10880000","2698","172698","4","64",SEGUNDO,MONTE CASTRO,"10"
Marcos sastre 5200 0,"102","159000","10176000","2524","161524","3","64",SEGUNDO,MONTE CASTRO,"10"
AV. CASEROS 3588,"58","150000","9600000","2571","164524","3","64",SEGUNDO,BOEDO,"5"
Caseros 0,"59","120000","7680000","2029","129883","3","64",SEGUNDO,BOEDO,"5"
Almafuerte 20 0,"60","120000","7680000","2000","128000","3","64",SEGUNDO,BOEDO,"5"
Av Almafuerte 21,"60","79900","5113600","1332","85227","3","64",SEGUNDO,BOEDO,"5"
Av Caseros 3500,"62","145000","9280000","2339","149677","3","64",SEGUNDO,BOEDO,"5"
Av. Caseros 3400,"65","138000","8832000","2190","140190","3","64",SEGUNDO,BOEDO,"5"
"0","56","131274","8401536","2344","150027","3","64",SEGUNDO,NUEVA POMPEYA,"4"
PIROVANO 200,"57","72000","4608000","1263","80842","2","64",SEGUNDO,NUEVA POMPEYA,"4"
"LA PLATA, AVDA. 2300","61","130000","8320000","2241","143448","2","64",SEGUNDO,NUEVA POMPEYA,"4"
Pomar 4100 0,"62","114900","7353600","1981","126786","3","64",SEGUNDO,NUEVA POMPEYA,"4"
G. Pomar al 4100 0,"58","140000","8960000","2414","154483","3","64",SEGUNDO,NUEVA POMPEYA,"4"
"0","59","136840","8757760","2319","148437","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Av Saenz 40,"59","95000","6080000","1610","103051","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Osvaldo Cruz 3800 0,"59","30000","1920000","508","32542","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Oscar Natalio Bonavena 1500 0,"59","63000","4032000","1068","68339","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Coronel Pagola 0,"60","107400","6873600","1800","115194","2","64",SEGUNDO,NUEVA POMPEYA,"4"
Av. Almafuerte 600 0,"70","164000","10496000","2733","174933","3","64",SEGUNDO,NUEVA POMPEYA,"4"
ALMAFUERTE 800,"63","105000","6720000","1750","112000","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Quilmes 548,"123","128000","8192000","2133","136533","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Osvado Cruz al 3800 Barrio Espora 0,"60","51900","3321600","865","55360","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Coronel Pagola 3932,"62","111960","7165440","1800","115200","1","64",SEGUNDO,NUEVA POMPEYA,"4"
Coronel Pagola 3932,"62","131234","8398976","2110","135032","1","64",SEGUNDO,NUEVA POMPEYA,"4"
Tte. Gregorio Pomar 4300 0,"120","97000","6208000","1540","98540","3","64",SEGUNDO,NUEVA POMPEYA,"4"
Cachi 238,"68","110000","7040000","1803","115410","3","64",SEGUNDO,NUEVA POMPEYA,"4"
M De Salcedo 2900,"62","75000","4800000","1339","85714","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
MATHEU 1700,"60","84500","5408000","1509","96571","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
MONTEAGUDO AL 100 0,"60","130000","8320000","2321","148571","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
D Matheu 1700,"56","89000","5696000","1589","101714","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
salcedo 2913 0,"59","96000","6144000","1714","109714","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Dean Funes 1700,"60","94500","6048000","1688","108000","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
La Rioja 1800,"61","98500","6304000","1759","112571","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Matheu al 1700 0,"65","88000","5632000","1571","100571","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av. Brasil 2800,"117","155000","9920000","2768","177143","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
Matheu 1771 0,"56","80000","5120000","1429","91429","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av. Chiclana 3223,"57","115000","7360000","2018","129123","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
La Rioja 1713 Piso 3 Dto. G 0,"64","146946","9404544","2578","164992","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av. Brasil 2307 0,"73","129000","8256000","2224","142345","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
Gral J J De Urquiza 1650,"65","155000","9920000","2672","171034","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
Urquiza 1650,"65","155000","9920000","2672","171034","2","64",SEGUNDO,PARQUE PATRICIOS,"4"
Alberti al 1600 0,"65","100000","6400000","1724","110345","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
matheu al 1700 0,"59","85000","5440000","1441","92203","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Cátulo Castillo 3200,"64","176000","11264000","2983","190915","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av Jujuy 1700,"93","145000","9280000","2458","157288","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
CASTILLO CATULO 3000,"60","130000","8320000","2167","138667","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Inclan 2500,"60","150000","9600000","2500","160000","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Inclan 2968 0,"64","105000","6720000","1750","112000","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Pje J De Garro 3000,"60","79900","5113600","1332","85227","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av. Caseros 2400,"74","135000","8640000","2250","144000","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Matheu 1771 0,"66","90000","5760000","1500","96000","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
MATHEU 1700,"66","98000","6272000","1633","104533","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Inclan 2900,"60","110000","7040000","1833","117333","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
D Matheu 1700,"67","104000","6656000","1733","110933","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Dean Funes 1700 0,"64","105000","6720000","1721","110164","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Avda. Jujuy 1921,"62","174000","11136000","2806","179613","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Southpoint Jujuy Tech Suites - Av. Jujuy 1921 - P*,"62","174000","11136000","2806","179613","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
D Matheu 1700,"80","95500","6112000","1516","97016","3","64",SEGUNDO,PARQUE PATRICIOS,"4"
Alberti al 1700 0,"63","110000","7040000","1746","111746","4","64",SEGUNDO,PARQUE PATRICIOS,"4"
Av J De Garay 2300,"62","145000","9280000","2339","149677","3","64",SEGUNDO,SAN CRISTOBAL,"3"
Juan A Garcia al 5100 1 C 0,"76","164800","10547200","2658","170116","3","64",SEGUNDO,MONTE CASTRO,"10"
JUAN AGUSTIN GARCIA 5100,"62","174800","11187200","2819","180439","3","64",SEGUNDO,MONTE CASTRO,"10"
Juan A Garcia al 5100 2A 0,"76","169800","10867200","2695","172495","3","64",SEGUNDO,MONTE CASTRO,"10"
"FALCON, RAMON L., COR. 6000","74","185000","11840000","3304","211429","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Cardoso 6,"56","150000","9600000","2679","171429","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
"FALCON, RAMON L., COR. 6000","61","185000","11840000","3304","211429","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
"FALCON, RAMON L., COR. 6000","62","175000","11200000","3125","200000","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
"FALCON, RAMON L., COR. 1900","65","140000","8960000","2456","157193","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Ramón Falcón  al 4000 0,"60","160000","10240000","2807","179649","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
pasaje wagner 1139,"108","190000","12160000","3333","213333","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
"FALCON, RAMON L., COR. 6000","63","190000","12160000","3333","213333","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
"FALCON, RAMON L., COR. 6000","63","200000","12800000","3509","224561","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
SEGUROLA al 700 0,"58","92000","5888000","1586","101517","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
AV. RIVADAVIA 8800,"58","80000","5120000","1379","88276","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Pasaje Wagner 1100,"79","200000","12800000","3448","220690","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Serv. Inmob. Bustamante - Wagner al 1100 - 9238 -*,"58","215000","13760000","3707","237241","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Av. Rivadavia 8600,"59","105000","6720000","1780","113898","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
Juan A Sarachaga 4300,"60","135000","8640000","2288","146441","3","64",SEGUNDO,VELEZ SARSFIELD,"10"
