m2,ambientes,barrio,usd_m2,precio_usd
55.0,3,BALVANERA,1546,85000
75.0,3,BELGRANO,3133,235000
32.0,2,RECOLETA,2791,90000
90.0,3,RECOLETA,3810,320000
68.0,3,CABALLITO,3044,207000
97.0,3,VILLA URQUIZA,3194,214000
42.0,2,BELGRANO,4238,178000
33.0,1,PALERMO,3211,105949
120.0,4,BALVANERA,1458,175000
53.0,3,RECOLETA,3528,187000
98.0,4,VILLA URQUIZA,2704,265000
70.0,3,CABALLITO,3243,227000
20.0,1,COLEGIALES,3900,78000
72.0,4,CABALLITO,2264,163000
29.0,1,PALERMO,3589,105164
36.0,1,COLEGIALES,2389,86000
90.0,4,CABALLITO,2556,230000
57.0,3,BELGRANO,2421,138000
33.0,1,ALMAGRO,3015,99500
120.0,3,VILLA CRESPO,1408,169000
42.0,1,ALMAGRO,3232,135721
54.0,2,CABALLITO,2407,130000
75.0,3,PALERMO,3401,217690
143.0,4,ALMAGRO,1224,175000
75.0,4,PALERMO,3200,240000
45.0,2,VILLA CRESPO,2444,110000
168.0,5,VILLA CRESPO,1607,270000
47.0,1,COLEGIALES,3231,125993
193.0,3,PALERMO,5130,990000
30.0,1,VILLA URQUIZA,3000,90000
97.0,3,BALVANERA,1650,160000
70.0,4,BELGRANO,3571,250000
30.0,1,VILLA CRESPO,3148,85000
75.0,3,CABALLITO,3533,265000
34.0,1,PALERMO,3638,123686
90.0,4,PALERMO,4833,435000
55.0,3,COLEGIALES,2909,160000
40.0,1,VILLA URQUIZA,2800,112000
42.0,3,BELGRANO,2952,124000
115.0,3,RECOLETA,4130,475000
60.0,3,VILLA CRESPO,3000,180000
50.0,2,VILLA CRESPO,3397,169860
105.0,3,CABALLITO,3103,325841
53.0,3,RECOLETA,2415,128000
53.0,2,CABALLITO,2755,135000
115.0,4,BELGRANO,3416,334715
117.0,3,FLORES NORTE,2385,279000
35.0,1,BELGRANO,3429,120000
46.0,2,CABALLITO,3456,159000
107.0,4,CABALLITO,3466,370000
55.0,2,ALMAGRO,3636,199999
39.0,2,PALERMO,2564,100000
76.0,3,VILLA CRESPO,2817,200000
110.0,4,RECOLETA,3864,425000
26.0,1,PALERMO,2750,71500
42.0,2,VILLA URQUIZA,3492,114900
105.0,3,COLEGIALES,2890,303497
40.0,2,FLORES NORTE,2575,103000
43.0,2,FLORES NORTE,3372,145000
158.0,4,BALVANERA,1171,185000
63.0,3,VILLA CRESPO,4159,262000
102.0,4,FLORES NORTE,2628,268000
63.0,2,ALMAGRO,3143,198000
140.0,4,FLORES NORTE,2249,314900
37.0,1,BELGRANO,3813,140000
124.0,4,VILLA CRESPO,2782,345000
75.0,3,VILLA URQUIZA,7286,255000
63.0,3,BALVANERA,2434,129000
68.0,3,ALMAGRO,2915,139900
114.0,4,BELGRANO,3128,319000
116.0,4,VILLA CRESPO,2936,320000
38.0,1,FLORES NORTE,2120,80560
170.0,4,PALERMO,2818,479000
35.0,2,BELGRANO,1438,43767
90.0,3,VILLA URQUIZA,4230,329900
97.0,5,ALMAGRO,2784,270000
26.0,1,PALERMO,2496,64900
57.0,3,VILLA URQUIZA,4636,255000
105.0,4,CABALLITO,2712,284715
95.0,3,RECOLETA,2947,280000
92.0,2,CABALLITO,1359,125000
50.0,2,COLEGIALES,3045,152250
175.0,4,CABALLITO,2154,349000
79.0,3,COLEGIALES,3038,240000
85.0,4,BELGRANO,3529,300000
36.0,2,BALVANERA,1667,60000
57.0,2,ALMAGRO,3571,203542
49.0,2,BALVANERA,2717,125000
49.0,2,COLEGIALES,4204,206000
78.0,3,VILLA CRESPO,3526,275000
73.0,2,CABALLITO,2071,145000
69.0,3,BALVANERA,2681,185000
40.0,2,CABALLITO,3167,114000
37.0,1,ALMAGRO,2593,70000
54.0,2,VILLA URQUIZA,2778,150000
166.0,4,BELGRANO,1145,190000
45.0,2,CABALLITO,2556,115000
79.0,3,VILLA URQUIZA,3371,209000
125.0,4,CABALLITO,3520,440000
86.0,4,BELGRANO,3314,285000
30.0,1,BALVANERA,1997,59900
75.0,3,VILLA CRESPO,3200,240000
85.0,4,FLORES NORTE,2200,187000
77.0,3,COLEGIALES,2987,230000
47.0,2,COLEGIALES,3452,145000
46.0,3,COLEGIALES,2587,119000
59.0,3,RECOLETA,3529,180000
57.0,2,BELGRANO,2719,155000
48.0,2,ALMAGRO,3372,151751
38.0,1,COLEGIALES,3279,124600
37.0,2,VILLA URQUIZA,3649,135000
74.0,2,COLEGIALES,2871,178000
53.0,2,ALMAGRO,3041,149000
70.0,3,COLEGIALES,2643,185000
106.0,4,VILLA CRESPO,1650,174900
116.0,4,RECOLETA,2198,255000
70.0,2,CABALLITO,2714,190000
171.0,5,BELGRANO,2866,490000
50.0,2,PALERMO,2540,127000
50.0,2,PALERMO,4589,229435
27.0,1,RECOLETA,4444,120000
35.0,2,ALMAGRO,2086,73000
37.0,2,BALVANERA,1757,65000
65.0,3,ALMAGRO,4175,271404
46.0,2,BALVANERA,1991,91600
43.0,2,BALVANERA,1582,68007
31.0,1,FLORES NORTE,2258,70000
201.0,5,RECOLETA,4867,980000
45.0,1,BELGRANO,3267,147000
36.0,1,PALERMO,2722,98000
59.0,3,CABALLITO,2271,134000
154.0,4,ALMAGRO,2825,435000
71.0,4,COLEGIALES,3775,268000
44.0,2,ALMAGRO,2614,115000
60.0,2,COLEGIALES,1917,115000
60.0,3,FLORES NORTE,2167,130000
77.0,3,BELGRANO,2987,230000
63.0,2,VILLA CRESPO,2480,143812
97.0,2,BELGRANO,4546,200000
52.0,2,RECOLETA,4009,208459
68.0,3,FLORES NORTE,3268,192831
29.0,2,COLEGIALES,2759,80000
48.0,2,FLORES NORTE,2542,122000
32.0,1,BELGRANO,3740,86016
32.0,1,COLEGIALES,3281,105000
36.0,1,PALERMO,2796,100651
55.0,2,COLEGIALES,3381,142000
57.0,3,FLORES NORTE,3019,160000
38.0,1,VILLA URQUIZA,2694,94300
70.0,3,BALVANERA,1814,127000
100.0,4,ALMAGRO,2700,270000
42.0,2,RECOLETA,2736,114900
78.0,3,COLEGIALES,3974,310000
75.0,3,RECOLETA,3133,235000
40.0,1,FLORES NORTE,2676,99000
168.0,4,PALERMO,3452,580000
45.0,2,BELGRANO,3372,134900
38.0,1,BELGRANO,3709,142800
55.0,2,BELGRANO,3691,203000
72.0,3,VILLA URQUIZA,3264,235000
55.0,2,VILLA CRESPO,2922,149000
71.0,4,RECOLETA,3099,220000
62.0,3,VILLA URQUIZA,2439,139000
72.0,4,ALMAGRO,2361,170000
36.0,1,ALMAGRO,2917,105000
33.0,1,BALVANERA,1758,58000
60.0,3,BELGRANO,2833,170000
35.0,1,VILLA URQUIZA,2571,90000
80.0,4,ALMAGRO,3312,265000
37.0,2,VILLA CRESPO,3027,112000
65.0,3,CABALLITO,3615,235000
161.0,4,RECOLETA,2702,435000
70.0,3,VILLA URQUIZA,3500,245000
31.0,1,VILLA CRESPO,2478,76811
74.0,3,RECOLETA,3000,210000
56.0,3,BALVANERA,2115,110000
63.0,2,RECOLETA,3159,199000
136.0,4,RECOLETA,3596,489000
44.0,1,PALERMO,5000,220000
53.0,3,ALMAGRO,2358,125000
50.0,2,FLORES NORTE,2300,115000
71.0,4,FLORES NORTE,3028,215000
37.0,1,BELGRANO,2703,100000
200.0,5,BALVANERA,1350,270000
66.0,3,ALMAGRO,2638,174135
42.0,2,VILLA URQUIZA,3400,136000
235.0,5,RECOLETA,3872,910000
46.0,2,COLEGIALES,2857,130000
60.0,4,FLORES NORTE,2250,135000
48.0,2,ALMAGRO,2062,99000
145.0,4,BELGRANO,4414,640000
44.0,2,PALERMO,4136,182000
23.0,1,VILLA CRESPO,2704,62200
47.0,3,ALMAGRO,2605,112000
86.0,3,VILLA CRESPO,3023,260000
94.0,4,CABALLITO,1894,179000
46.0,2,VILLA CRESPO,1783,82000
57.0,1,BALVANERA,2694,91600
43.0,3,BALVANERA,2791,120000
55.0,2,COLEGIALES,3000,165000
40.0,2,VILLA CRESPO,2375,95000
38.0,1,BALVANERA,2787,105900
200.0,5,PALERMO,4200,840000
73.0,3,COLEGIALES,2671,195000
83.0,3,BALVANERA,1747,145000
88.0,4,FLORES NORTE,2125,170000
89.0,4,BALVANERA,1517,135000
109.0,4,BALVANERA,1743,190000
56.0,2,PALERMO,6250,350000
46.0,2,CABALLITO,2641,121500
67.0,3,VILLA CRESPO,3149,211000
78.0,4,RECOLETA,2551,199000
83.0,4,RECOLETA,2398,199000
102.0,4,BALVANERA,1941,198000
120.0,4,ALMAGRO,2708,325000
130.0,3,COLEGIALES,3500,350000
108.0,3,PALERMO,2768,149500
56.0,2,ALMAGRO,2304,129000
85.0,2,PALERMO,2341,199000
58.0,2,BELGRANO,4224,245000
140.0,4,CABALLITO,2107,295000
33.0,2,VILLA CRESPO,2152,71000
42.0,2,FLORES NORTE,2714,114000
83.0,3,COLEGIALES,2895,220000
85.0,3,VILLA CRESPO,1682,143000
43.0,2,VILLA CRESPO,2826,121500
202.0,3,VILLA URQUIZA,2470,499000
140.0,5,BALVANERA,2250,315000
35.0,1,CABALLITO,2286,80000
54.0,2,RECOLETA,2963,160000
71.0,3,COLEGIALES,2322,164900
51.0,3,BELGRANO,2647,135000
59.0,3,BALVANERA,2508,148000
54.0,2,RECOLETA,4296,232000
51.0,2,CABALLITO,2078,106000
45.0,2,ALMAGRO,4079,183573
43.0,2,PALERMO,2905,124900
86.0,4,BALVANERA,1336,115000
44.0,1,ALMAGRO,1966,86500
68.0,3,CABALLITO,2353,160000
36.0,1,BELGRANO,3454,124352
45.0,2,CABALLITO,4422,199000
81.0,4,BALVANERA,3086,250000
35.0,1,PALERMO,3065,107283
138.0,5,FLORES NORTE,2101,290000
180.0,5,CABALLITO,3041,520000
63.0,3,BELGRANO,4516,284500
30.0,1,PALERMO,2967,89000
52.0,2,VILLA CRESPO,2375,123500
46.0,2,FLORES NORTE,3239,149000
51.0,2,BALVANERA,3431,175000
38.0,1,FLORES NORTE,2040,77500
71.0,3,PALERMO,3644,215000
58.0,3,BALVANERA,1897,110000
49.0,2,CABALLITO,2224,109000
56.0,2,BELGRANO,5490,280000
34.0,1,PALERMO,3461,117686
78.0,3,ALMAGRO,3419,266664
77.0,3,VILLA CRESPO,2273,175000
109.0,4,PALERMO,3624,395000
148.0,4,COLEGIALES,2068,153000
58.0,3,PALERMO,3379,196000
39.0,1,VILLA URQUIZA,2410,94000
165.0,4,BELGRANO,4467,469000
53.0,3,RECOLETA,3229,155000
63.0,2,FLORES NORTE,3231,203550
56.0,3,FLORES NORTE,1429,80000
78.0,3,VILLA CRESPO,2655,207091
34.0,2,BELGRANO,3809,129500
75.0,3,FLORES NORTE,2067,155000
99.0,3,COLEGIALES,2424,240000
44.0,1,COLEGIALES,3477,153000
74.0,3,BELGRANO,4189,310000
66.0,3,FLORES NORTE,2803,185000
59.0,3,RECOLETA,3136,185000
78.0,3,CABALLITO,2056,148000
67.0,4,BELGRANO,3209,215000
128.0,4,RECOLETA,2188,280000
45.0,2,BELGRANO,4978,224000
35.0,2,PALERMO,3143,110000
68.0,2,CABALLITO,1813,123300
29.0,1,COLEGIALES,2345,68000
90.0,3,VILLA URQUIZA,2756,248000
207.0,5,CABALLITO,3092,640000
74.0,3,COLEGIALES,3968,250000
35.0,2,BALVANERA,2543,89000
36.0,1,PALERMO,3301,118843
58.0,1,FLORES NORTE,2586,150000
